Type,Sample Name,S/W Version,Serial Number,Measurement Date and Time,Z-Average (d.nm),PdI,Sizes[1] (d.nm),Sizes[2] (d.nm),Sizes[3] (d.nm),Sizes[4] (d.nm),Sizes[5] (d.nm),Sizes[6] (d.nm),Sizes[7] (d.nm),Sizes[8] (d.nm),Sizes[9] (d.nm),Sizes[10] (d.nm),Sizes[11] (d.nm),Sizes[12] (d.nm),Sizes[13] (d.nm),Sizes[14] (d.nm),Sizes[15] (d.nm),Sizes[16] (d.nm),Sizes[17] (d.nm),Sizes[18] (d.nm),Sizes[19] (d.nm),Sizes[20] (d.nm),Sizes[21] (d.nm),Sizes[22] (d.nm),Sizes[23] (d.nm),Sizes[24] (d.nm),Sizes[25] (d.nm),Sizes[26] (d.nm),Sizes[27] (d.nm),Sizes[28] (d.nm),Sizes[29] (d.nm),Sizes[30] (d.nm),Sizes[31] (d.nm),Sizes[32] (d.nm),Sizes[33] (d.nm),Sizes[34] (d.nm),Sizes[35] (d.nm),Sizes[36] (d.nm),Sizes[37] (d.nm),Sizes[38] (d.nm),Sizes[39] (d.nm),Sizes[40] (d.nm),Sizes[41] (d.nm),Sizes[42] (d.nm),Sizes[43] (d.nm),Sizes[44] (d.nm),Sizes[45] (d.nm),Sizes[46] (d.nm),Sizes[47] (d.nm),Sizes[48] (d.nm),Sizes[49] (d.nm),Sizes[50] (d.nm),Sizes[51] (d.nm),Sizes[52] (d.nm),Sizes[53] (d.nm),Sizes[54] (d.nm),Sizes[55] (d.nm),Sizes[56] (d.nm),Sizes[57] (d.nm),Sizes[58] (d.nm),Sizes[59] (d.nm),Sizes[60] (d.nm),Sizes[61] (d.nm),Sizes[62] (d.nm),Sizes[63] (d.nm),Sizes[64] (d.nm),Sizes[65] (d.nm),Sizes[66] (d.nm),Sizes[67] (d.nm),Sizes[68] (d.nm),Sizes[69] (d.nm),Sizes[70] (d.nm),Intensities[1] (Percent),Intensities[2] (Percent),Intensities[3] (Percent),Intensities[4] (Percent),Intensities[5] (Percent),Intensities[6] (Percent),Intensities[7] (Percent),Intensities[8] (Percent),Intensities[9] (Percent),Intensities[10] (Percent),Intensities[11] (Percent),Intensities[12] (Percent),Intensities[13] (Percent),Intensities[14] (Percent),Intensities[15] (Percent),Intensities[16] (Percent),Intensities[17] (Percent),Intensities[18] (Percent),Intensities[19] (Percent),Intensities[20] (Percent),Intensities[21] (Percent),Intensities[22] (Percent),Intensities[23] (Percent),Intensities[24] (Percent),Intensities[25] (Percent),Intensities[26] (Percent),Intensities[27] (Percent),Intensities[28] (Percent),Intensities[29] (Percent),Intensities[30] (Percent),Intensities[31] (Percent),Intensities[32] (Percent),Intensities[33] (Percent),Intensities[34] (Percent),Intensities[35] (Percent),Intensities[36] (Percent),Intensities[37] (Percent),Intensities[38] (Percent),Intensities[39] (Percent),Intensities[40] (Percent),Intensities[41] (Percent),Intensities[42] (Percent),Intensities[43] (Percent),Intensities[44] (Percent),Intensities[45] (Percent),Intensities[46] (Percent),Intensities[47] (Percent),Intensities[48] (Percent),Intensities[49] (Percent),Intensities[50] (Percent),Intensities[51] (Percent),Intensities[52] (Percent),Intensities[53] (Percent),Intensities[54] (Percent),Intensities[55] (Percent),Intensities[56] (Percent),Intensities[57] (Percent),Intensities[58] (Percent),Intensities[59] (Percent),Intensities[60] (Percent),Intensities[61] (Percent),Intensities[62] (Percent),Intensities[63] (Percent),Intensities[64] (Percent),Intensities[65] (Percent),Intensities[66] (Percent),Intensities[67] (Percent),Intensities[68] (Percent),Intensities[69] (Percent),Intensities[70] (Percent),Volumes[1] (Percent),Volumes[2] (Percent),Volumes[3] (Percent),Volumes[4] (Percent),Volumes[5] (Percent),Volumes[6] (Percent),Volumes[7] (Percent),Volumes[8] (Percent),Volumes[9] (Percent),Volumes[10] (Percent),Volumes[11] (Percent),Volumes[12] (Percent),Volumes[13] (Percent),Volumes[14] (Percent),Volumes[15] (Percent),Volumes[16] (Percent),Volumes[17] (Percent),Volumes[18] (Percent),Volumes[19] (Percent),Volumes[20] (Percent),Volumes[21] (Percent),Volumes[22] (Percent),Volumes[23] (Percent),Volumes[24] (Percent),Volumes[25] (Percent),Volumes[26] (Percent),Volumes[27] (Percent),Volumes[28] (Percent),Volumes[29] (Percent),Volumes[30] (Percent),Volumes[31] (Percent),Volumes[32] (Percent),Volumes[33] (Percent),Volumes[34] (Percent),Volumes[35] (Percent),Volumes[36] (Percent),Volumes[37] (Percent),Volumes[38] (Percent),Volumes[39] (Percent),Volumes[40] (Percent),Volumes[41] (Percent),Volumes[42] (Percent),Volumes[43] (Percent),Volumes[44] (Percent),Volumes[45] (Percent),Volumes[46] (Percent),Volumes[47] (Percent),Volumes[48] (Percent),Volumes[49] (Percent),Volumes[50] (Percent),Volumes[51] (Percent),Volumes[52] (Percent),Volumes[53] (Percent),Volumes[54] (Percent),Volumes[55] (Percent),Volumes[56] (Percent),Volumes[57] (Percent),Volumes[58] (Percent),Volumes[59] (Percent),Volumes[60] (Percent),Volumes[61] (Percent),Volumes[62] (Percent),Volumes[63] (Percent),Volumes[64] (Percent),Volumes[65] (Percent),Volumes[66] (Percent),Volumes[67] (Percent),Volumes[68] (Percent),Volumes[69] (Percent),Volumes[70] (Percent)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,IrO2-Ink-35wt-1prop09-2 1,802,MAL1098099,8/25/2022 16:44,394,0.209,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.9,4.3,7.3,10.2,12.5,13.7,13.6,12.2,9.9,7.1,4.3,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,2.2,5.6,11.2,15.5,14.5,11.3,9.3,8.2,7.2,6,4.4,2.6,1.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,IrO2-Ink-35wt-1prop09-2 2,802,MAL1098099,8/25/2022 16:46,391.9,0.268,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.8,1.1,1.5,2.3,3.4,4.9,6.5,8.1,9.4,10.2,10.3,9.8,8.6,7,5.2,3.5,2,0.9,0.2,0,0,0,0,0.1,0.4,0.7,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.6,1,1.9,3.3,5.5,6.9,6.2,4.7,4,3.7,3.5,3.3,3,2.4,1.8,1,0.4,0.1,0,0,0.2,1,3.1,7.4,14,14.5,5.6,0,0,0
Size,IrO2-Ink-35wt-1prop09-2 3,802,MAL1098099,8/25/2022 16:48,386.6,0.231,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,3.6,5.8,7.8,9.5,10.7,11.1,10.8,9.8,8.4,6.7,4.9,3.3,1.9,0.9,0.3,0,0,0,0,0.1,0.2,0.4,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,1,2.4,4.7,7.9,9.8,8.5,6.2,5,4.5,4.2,3.9,3.4,2.8,2,1.2,0.6,0.2,0,0,0.2,0.8,2.4,5.2,9.4,9.6,3.6,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,IrO2-Ink-35wt-1prop09-2 1,802,MAL1098099,8/25/2022 16:54,382.1,0.174,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,1,1.9,3.2,4.9,6.9,8.8,10.5,11.5,11.8,11.2,9.8,7.7,5.4,3.1,1.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.7,1.5,3.2,6.1,10.4,13.5,12.3,9.6,8.1,7.5,7.2,6.6,5.5,4,2.3,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,IrO2-Ink-35wt-1prop09-2 2,802,MAL1098099,8/25/2022 16:57,388.1,0.204,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.5,0.4,0.2,0.2,0.5,1.3,2.6,4.4,6.5,8.6,10.3,11.4,11.7,11.2,9.8,7.9,5.7,3.6,1.9,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.4,0.3,0.2,0.1,0.4,1.1,2.7,5.5,9.9,13,12,9.3,8,7.4,7.2,6.7,5.8,4.5,3,1.5,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Size,IrO2-Ink-35wt-1prop09-2 3,802,MAL1098099,8/25/2022 16:59,407.5,0.217,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.6,3.8,6.5,9.3,11.6,13,13.2,12.3,10.4,8,5.4,3,1.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,1.9,4.9,10.1,14.1,13.4,10.7,9,8.3,7.7,6.8,5.5,3.9,2.2,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,IrO2-Ink-35wt-1prop09-2 1,802,MAL1098099,8/25/2022 17:03,361.8,0.17,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.4,3.8,6.9,9.8,12.1,13.3,13.3,12.1,10.1,7.6,5.1,2.9,1.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.3,3.8,8,14,17.6,15,10.6,8,6.5,5.4,4.2,2.9,1.6,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,IrO2-Ink-35wt-1prop09-2 2,802,MAL1098099,8/25/2022 17:06,361.5,0.219,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.9,7.3,10.5,12.8,13.9,13.5,11.8,9.3,6.5,3.8,1.7,0.5,0,0,0,0,0,0,0,0.1,0.3,0.6,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,2.3,5,8.7,10.8,9.1,6.3,4.5,3.5,2.7,1.8,1,0.4,0.1,0,0,0,0,0,0.1,0.6,2.5,6.6,13.3,14.2,5.5,0,0,0
Size,IrO2-Ink-35wt-1prop09-2 3,802,MAL1098099,8/25/2022 17:08,357.8,0.216,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.7,4.7,8.1,11.2,13.1,13.6,12.8,10.9,8.4,5.7,3.3,1.5,0.4,0,0,0,0,0,0,0.1,0.2,0.6,0.9,1.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,2.4,4.8,8.1,9.8,8,5.3,3.7,2.8,2.1,1.4,0.8,0.3,0.1,0,0,0,0,0.1,0.4,1.6,4.1,8.4,14.6,14.6,5.5,0,0,0
