DOI,date_added,flag,name,run_title,uid
,2023-05-08,jasna,Ford,,44fe9432-d263-4ba4-ba58-dcd1fc1a180d
,2023-05-08,jasna,RN0721-22,,2869e9bc-a218-42e6-83ba-a64fe33a5a03
,2023-05-08,jasna,RN0721-23,,b8fa28a7-263d-4bf1-9b9d-abaa7a560444
,2023-05-08,jasna,RN0721-31 (80C),,6813d43e-6893-4d01-b015-8bd864c97bcf
,2023-05-08,jasna,RN0721-30,,4d2b3003-7a9c-4ce8-b16c-ad79bae72625
,2023-05-08,jasna,RN0721-26 (100C),,500654f7-da74-4ff4-9b4b-a90409604246
,2023-05-08,jasna,RN0721-31 (55C),,59a25e7e-34e9-4aac-ae41-df90ff8a5c36
,2023-05-08,jasna,RN0721-28,,cf56cac3-be6e-423f-bc8e-670793d44c4b
,2023-05-08,jasna,RN0721-31 (100C),,c0967102-c2cf-4e80-adb9-d1667a25d7e1
,2023-05-08,jasna,RN0721-31 (RT),,95a30151-bcb8-4f98-9e0b-5bc18e9c1a43
,2023-05-08,jasna,RN0721-26 (55C),,6c725d2e-844d-48ff-b714-5f0388c1d879
,2023-05-08,jasna,RN0721-26 (RT),,ba494e0d-c4d1-446a-9bbe-0704974c1996
,2023-05-08,jasna,RN0721-33,,ca4bae8a-f993-4adb-98de-695f0ab65085
,2023-05-08,jasna,RN0721-21,,39f12de0-4f37-43b9-88fe-4fffa9eef3fd
,2023-05-08,jasna,HW4 B2.2,,a8f226fe-17c0-49c8-b25b-d8a3861bca58
,2023-05-08,jasna,RN0721-26 (80C),,875be11e-1cd6-4d65-91ac-90cb5ade4bd3
,2023-05-08,jasna,RN0721-32,,a8bdea82-59eb-4502-bcce-4fd73fc61058
,2023-05-08,jasna,plate,,543d310a-7374-4067-af9e-d46e88a95539
,2023-05-08,jasna,RN0721-22 (0.15),,ba4d8242-6251-4b00-b492-654379cc57e2
,2023-05-08,jasna,RN0721-29,,472a126c-4bdf-40b6-bbe0-88f9d96f9165
,2023-05-08,,RN0721-21FuelCell,,8731828e-2395-4d80-955d-ce0379c03d01
,2023-05-08,,RN0721-22FuelCell,,03018a41-1b38-4050-bc2a-9d81e5efb806
,2023-05-08,,RN0721-26 (RT)FuelCell,,ec7c3829-5599-4f06-b406-c69b6e8ac857
,2023-05-08,,RN0721-31 (80C)FuelCell,,34d1d577-2ab7-4fb7-8e51-84a12fc0ffa8
,2023-05-08,,RN0721-31 (55C)FuelCell,,30844410-015c-4e62-9cb4-661215e0fbf2
,2023-05-08,,RN0721-33FuelCell,,9af88866-22c1-4aab-9c6d-e16cce2e9fa0
,2023-05-08,,RN0721-31 (100C)FuelCell,,6b83296e-bd6a-470b-a155-c889a43c5f8b
,2023-05-08,,RN0721-26 (55C)FuelCell,,dd534a3d-e545-4c0f-994a-f9796ec96ea5
,2023-05-08,,RN0721-32FuelCell,,737191b1-eb26-4f60-9d80-ca1febe5eb25
,2023-05-08,,RN0721-31 (RT)FuelCell,,c5e1fc28-e32e-491b-af74-80bff1f9b7e9
,2023-05-08,,RN0721-29FuelCell,,86345a0f-3e58-4144-884e-fe64b62e282b
,2023-05-08,,RN0721-22 (0.15)FuelCell,,dd1a4a87-36cd-45ff-8335-329749dad605
,2023-05-08,,RN0721-23FuelCell,,95a31cfb-73a0-4924-9721-264f70dedf7e
,2023-05-08,,RN0721-26 (80C)FuelCell,,c1b8ea01-dc6d-4b0c-b4dd-6e7b4edd5f39
,2023-05-08,,RN0721-30FuelCell,,6ce705cf-f603-4bd5-8de1-a2c7523d264d
,2023-05-08,,RN0721-26 (100C)FuelCell,,27c7dbff-62bf-4ee8-8691-bdd4de0d1569
,2023-05-08,,RN0721-28FuelCell,,ae1ca962-6044-4ec1-b1bf-0827977a1a41
10,2023-05-08,jasna,,RN0721-21_FuellCellManufacturing,b6a9849c-2738-401d-8cf0-96b5d3e3dcb8
8,2023-05-08,jasna,,RN0721-33_FuelCellAssembly,c200d079-cc5d-41e8-8210-e7fbd738bc25
,2023-05-08,jasna,,RN0721-28_InkFabrication,dea38421-53eb-4fc6-98e3-f4a87550f99e
22,2023-05-08,jasna,,RN0721-26 (100C)_FuelCellAssembly,5249f7ab-cc64-4137-8495-8cc1178968b1
,2023-05-08,jasna,,RN0721-33_InkFabrication,ecf0020f-4f11-459b-8fc2-d48050318ca1
6,2023-05-08,jasna,,RN0721-29_FuelCellAssembly,7b190a90-e524-4bbc-8a41-12db69cbcd73
18,2023-05-08,jasna,,RN0721-26 (55C)_FuelCellAssembly,6895ed15-6d39-4a65-b692-b0b6cbfb1398
12,2023-05-08,jasna,,RN0721-31 (55C)_FuelCellAssembly,f1decdbb-6a71-4133-8d79-a451b5f10077
5,2023-05-08,jasna,,RN0721-29_FuellCellManufacturing,a4657fb9-a8a4-4da0-ba43-8fe39e869426
5,2023-05-08,jasna,,RN0721-29_FuelCellAssembly,85afd3dd-fb18-4a4e-85df-d8c09f071946
,2023-05-08,jasna,,RN0721-22_InkFabrication,4c9954de-31cd-4f84-957f-4f4081e749de
,2023-05-08,jasna,,RN0721-29_InkFabrication,083ac574-36e1-42f7-872b-4c77bb8c3c47
,2023-05-08,jasna,,RN0721-23_InkFabrication,6497dead-03b1-45b9-9b33-52e9f0f57f66
8,2023-05-08,jasna,,RN0721-33_MEAManufacturing,1d8deb7e-01b1-426e-8add-e51677c7778a
1,2023-05-08,jasna,,RN0721-28_FuelCellAssembly,821d73bf-c776-4e1f-8123-ccdda8dfd63d
24,2023-05-08,jasna,,RN0721-26 (RT)_FuelCellAssembly,32137c66-0b4f-4963-a84b-0f747314ac80
6,2023-05-08,jasna,,RN0721-29_FuellCellManufacturing,29e57592-bf64-4a16-8f70-5cd0fa034dc9
,2023-05-08,jasna,,RN0721-26 (100C)_InkFabrication,4ea67149-38d0-45e4-8bda-1fec1c564445
25,2023-05-08,jasna,,RN0721-26 (RT)_MEAManufacturing,03d853c3-2551-487e-9cc4-c0820126bf11
24,2023-05-08,jasna,,RN0721-26 (RT)_MEAManufacturing,f79f9f0a-0a0f-4089-8bc6-d4628f39df41
4,2023-05-08,jasna,,RN0721-32_MEAManufacturing,0e2c73d6-14f6-4b03-9c42-12d66bcde84c
13,2023-05-08,jasna,,RN0721-31 (55C)_MEAManufacturing,1fb9b4e1-f277-487e-988e-9f4e926a7054
19,2023-05-08,jasna,,RN0721-26 (55C)_FuelCellAssembly,f0fcc175-b46c-487f-bd0b-481cae4ee3ea
,2023-05-08,jasna,,RN0721-31 (RT)_InkFabrication,f5f02d42-5399-4a96-a785-e24647aea9cd
25,2023-05-08,jasna,,RN0721-26 (RT)_FuelCellAssembly,074d5c3d-7132-478a-89a5-b9c1d4eb991f
20,2023-05-08,jasna,,RN0721-26 (80C)_FuelCellAssembly,9814b161-1a44-4c13-a296-808051e79e7a
27,2023-05-08,jasna,,RN0721-22 (0.15)_FuelCellAssembly,35aa1a8b-51d3-4f21-b640-ec28dab16cf2
8,2023-05-08,jasna,,RN0721-33_FuellCellManufacturing,6c07783a-15d8-4f70-bdeb-2840f0e17f0a
27,2023-05-08,jasna,,RN0721-22 (0.15)_FuellCellManufacturing,a10e6c56-bd6c-4cc7-b31a-70f2d9fbb1c9
5,2023-05-08,jasna,,RN0721-29_MEAManufacturing,185dbb67-9826-4dfe-97d0-f0acdddc8e3f
23,2023-05-08,jasna,,RN0721-26 (100C)_MEAManufacturing,d8c71edd-2878-49da-bf3d-de6392a1bded
14,2023-05-08,jasna,,RN0721-31 (80C)_MEAManufacturing,02a4cabb-3fbd-4a4a-87ae-f4b11dadb706
12,2023-05-08,jasna,,RN0721-31 (55C)_FuellCellManufacturing,783124b7-de3c-41e0-86a5-a5e36b41024f
17,2023-05-08,jasna,,RN0721-31 (RT)_MEAManufacturing,a9d8332a-ac44-4b74-a81c-de64734cdfe7
16,2023-05-08,jasna,,RN0721-31 (RT)_FuellCellManufacturing,038c1997-df98-4a23-a62f-2b3f9ed1a493
,2023-05-08,jasna,,RN0721-26 (80C)_InkFabrication,9274c0ec-9495-4ee3-b887-6f5a0f5cf84c
21,2023-05-08,jasna,,RN0721-26 (80C)_FuellCellManufacturing,4ae1d19c-2a7c-4fe6-a5a5-d9abf2e0ce4b
,2023-05-08,jasna,,RN0721-31 (100C)_InkFabrication,249a19a0-5496-403e-89fb-e9f83caa739c
22,2023-05-08,jasna,,RN0721-26 (100C)_FuellCellManufacturing,0426313a-f33c-4074-a7f2-2735b1ff51fb
7,2023-05-08,jasna,,RN0721-23_FuellCellManufacturing,15f131c4-e301-48ae-9f60-d2242795e9c6
14,2023-05-08,jasna,,RN0721-31 (80C)_FuellCellManufacturing,9e6babb7-d376-4f99-9ed4-69f94f52a522
17,2023-05-08,jasna,,RN0721-31 (RT)_FuelCellAssembly,2f2076c4-ad95-4131-83f4-c85405a2a6fb
20,2023-05-08,jasna,,RN0721-26 (80C)_MEAManufacturing,37ee4f3d-2d9b-46f5-9417-a28d751bf830
20,2023-05-08,jasna,,RN0721-26 (80C)_FuellCellManufacturing,db257e1a-febc-4177-ae85-667773bc293c
13,2023-05-08,jasna,,RN0721-31 (55C)_FuelCellAssembly,c6cb5e53-cf39-4eba-a002-7e2527e6cbb0
23,2023-05-08,jasna,,RN0721-26 (100C)_FuelCellAssembly,afa7f15a-5485-4413-b211-11190510b8f5
25,2023-05-08,jasna,,RN0721-26 (RT)_FuellCellManufacturing,cc542c0b-bdbc-4789-bdbf-14b64548674e
4,2023-05-08,jasna,,RN0721-32_FuelCellAssembly,d4283eae-25b7-44bf-94f4-33d94021a0fa
,2023-05-08,jasna,,RN0721-21_InkFabrication,24ca538e-318a-4026-b98b-22ac51c1d276
26,2023-05-08,jasna,,RN0721-22 (0.15)_MEAManufacturing,2bd01fc1-2828-413f-a664-e1feaa48c5c2
10,2023-05-08,jasna,,RN0721-21_FuelCellAssembly,74e60135-726c-46e8-8f1b-6261c8fed3ce
18,2023-05-08,jasna,,RN0721-26 (55C)_MEAManufacturing,902a542f-53e2-42c8-9bf3-10bf5e9227a9
14,2023-05-08,jasna,,RN0721-31 (80C)_FuelCellAssembly,2a9b17a2-9849-4a7b-a778-14fb1c2a9df2
16,2023-05-08,jasna,,RN0721-31 (RT)_MEAManufacturing,36ee0241-ffaa-43dc-9a19-014356245485
11,2023-05-08,jasna,,RN0721-22_MEAManufacturing,86e40920-8122-4b92-8b42-838fba1278cd
,2023-05-08,jasna,,RN0721-30_InkFabrication,d15eb58d-2cbb-4a05-a639-34259551a437
24,2023-05-08,jasna,,RN0721-26 (RT)_FuellCellManufacturing,89e33e6c-78d3-4eef-97ac-26fd905a1378
9,2023-05-08,jasna,,RN0721-21_FuellCellManufacturing,c04fd408-b438-47b9-a94a-d271b3e41389
6,2023-05-08,jasna,,RN0721-29_MEAManufacturing,ca074c22-5e33-45a3-be9b-221933cae888
2,2023-05-08,jasna,,RN0721-30_MEAManufacturing,94b0fa4d-7efc-43b3-9452-63aaf2d4ba2a
23,2023-05-08,jasna,,RN0721-26 (100C)_FuellCellManufacturing,20f90b39-32c0-4fe0-b2ef-f3a7b16d3611
27,2023-05-08,jasna,,RN0721-22 (0.15)_MEAManufacturing,d3320cde-733b-4b72-8f71-436a00db41a8
15,2023-05-08,jasna,,RN0721-31 (100C)_MEAManufacturing,35ddb3d6-6605-42bd-8cb4-0f1334ce2eaf
19,2023-05-08,jasna,,RN0721-26 (55C)_FuellCellManufacturing,dd8403ba-8100-45c4-a5fc-4ab9096cf1f5
9,2023-05-08,jasna,,RN0721-21_MEAManufacturing,2dfb02ac-3821-4e1c-a526-81e56f84a5b0
,2023-05-08,jasna,,RN0721-31 (80C)_InkFabrication,7bdb4a45-84c2-486e-8619-29bcff6d6bb5
21,2023-05-08,jasna,,RN0721-26 (80C)_FuelCellAssembly,7dd28c49-d35a-4b13-ba96-1ad8dec08156
2,2023-05-08,jasna,,RN0721-30_FuellCellManufacturing,9b004cf8-df41-41d0-a408-e55ccd1f4905
26,2023-05-08,jasna,,RN0721-22 (0.15)_FuelCellAssembly,00254270-796c-40ca-a588-79ea4b4bd393
15,2023-05-08,jasna,,RN0721-31 (100C)_FuelCellAssembly,0fe440f8-ed5d-447f-94a9-46c033fb3500
12,2023-05-08,jasna,,RN0721-31 (55C)_MEAManufacturing,adf5d3f7-7545-4a6b-8317-03906a4fd66b
10,2023-05-08,jasna,,RN0721-21_MEAManufacturing,a2376075-2020-444e-8d29-2fc4aecb448f
7,2023-05-08,jasna,,RN0721-23_MEAManufacturing,98a7d402-6baf-4086-b2a4-97bbbab2c930
,2023-05-08,jasna,,RN0721-32_InkFabrication,a6427fe9-8e64-4060-9a2f-f1ef9b82443a
,2023-05-08,jasna,,RN0721-31 (55C)_InkFabrication,d8fa778e-e5cf-46a1-ae40-20b7f46efb63
,2023-05-08,jasna,,RN0721-26 (RT)_InkFabrication,155212b0-fcfd-43d8-95fb-a6e39f08de4f
11,2023-05-08,jasna,,RN0721-22_FuelCellAssembly,c27d9693-eb82-44a6-abeb-b8b7f5a2ed7f
26,2023-05-08,jasna,,RN0721-22 (0.15)_FuellCellManufacturing,c6447efc-eb95-44f7-8a07-6716a3df5dc8
17,2023-05-08,jasna,,RN0721-31 (RT)_FuellCellManufacturing,1ae0bc94-ede9-4ce0-8e5d-a5f5e01e9f19
11,2023-05-08,jasna,,RN0721-22_FuellCellManufacturing,6f88653a-84ce-4c59-b8e3-761f1ecf8473
1,2023-05-08,jasna,,RN0721-28_FuellCellManufacturing,1bb580d6-ccfb-4697-a261-73839fe4ed8f
2,2023-05-08,jasna,,RN0721-30_FuelCellAssembly,57faba2b-99b4-4a6e-ac80-09ad3b1d28aa
4,2023-05-08,jasna,,RN0721-32_FuellCellManufacturing,44028879-017c-4f7a-bbf2-010c4d5cdcd0
7,2023-05-08,jasna,,RN0721-23_FuelCellAssembly,5c0bc79c-6df7-43d3-9856-c11bf0b6e802
18,2023-05-08,jasna,,RN0721-26 (55C)_FuellCellManufacturing,b99ade9b-37b9-4515-b00b-2cf08808e581
13,2023-05-08,jasna,,RN0721-31 (55C)_FuellCellManufacturing,614e8a73-7381-4fb9-b57f-6522343ed84d
15,2023-05-08,jasna,,RN0721-31 (100C)_FuellCellManufacturing,b06666ff-be52-45ba-8422-edae986f5c1e
9,2023-05-08,jasna,,RN0721-21_FuelCellAssembly,c50197ec-a758-4be7-bd80-dff9db159fc8
19,2023-05-08,jasna,,RN0721-26 (55C)_MEAManufacturing,9a2fb6bf-c289-4677-9212-2edc9b62c2f2
,2023-05-08,jasna,,RN0721-22 (0.15)_InkFabrication,1746d64c-9c18-480c-bad6-b50de85a0871
,2023-05-08,jasna,,RN0721-26 (55C)_InkFabrication,e1c90839-ee47-45c5-b4b0-1df9b798c715
21,2023-05-08,jasna,,RN0721-26 (80C)_MEAManufacturing,dd053bcb-8263-458f-aef7-3ea623ec06a8
22,2023-05-08,jasna,,RN0721-26 (100C)_MEAManufacturing,41d442d4-6be9-4e90-8b6e-0861b217b599
1,2023-05-08,jasna,,RN0721-28_MEAManufacturing,0d1f4aeb-c259-4500-9289-ddeedca6cd3a
16,2023-05-08,jasna,,RN0721-31 (RT)_FuelCellAssembly,f7f7268e-4f97-40f8-8e18-f0956669957d
,2023-05-08,jasna,RN0721-22_ink,,d87ad7a6-768e-4338-8ece-1a1367907422
,2023-05-08,jasna,decal,,920ee47f-ebd4-4df9-9782-f5803e8a1fb7
,2023-05-08,jasna,RN0721-21_ink,,afd3b0be-f617-4955-b9f9-a2e682a3cbdd
,2023-05-08,jasna,RN0721-33_ink,,4cbd2d7e-a272-4e12-93da-292b93b377c8
,2023-05-08,jasna,RN0721-32_ink,,0985801c-a2cb-4adc-b727-755d5261690f
,2023-05-08,jasna,RN0721-31 (RT)_ink,,9d4be9a4-6a1f-4952-bd34-f58b33abe572
,2023-05-08,jasna,F50E-HT,,0e90a5da-6294-4ea5-8fa4-02f157834380
,2023-05-08,jasna,RN0721-28_ink,,7dd1c6e5-9f49-4c7d-a98c-9dc8ee1ed6fa
,2023-05-08,jasna,PTFE,,c41c991b-18aa-41b3-a135-097291b0cecd
,2023-05-08,jasna,RN0721-23_ink,,659e5dc3-2ba3-4ac9-9318-cbac9e1c17c3
,2023-05-08,jasna,RN0721-26 (55C)_ink,,fd32c36b-8034-4640-a0ce-ad19d42a2a2d
,2023-05-08,jasna,AquivionD79-25BS,,530f66dd-92ff-4d30-aac3-15e19bad3372
,2023-05-08,jasna,RN0721-22 (0.15)_ink,,6eaf0ee1-2e71-4ed8-b120-76bb36898c00
,2023-05-08,jasna,F50E-HTsupport,,2b8a0065-b3c5-49c4-84d2-41c6ad1502db
,2023-05-08,jasna,RN0721-31 (80C)_ink,,b5446457-0f8e-4fab-9c35-31df6cffb2f3
,2023-05-08,jasna,Gore anode,,d4c97297-0646-4397-ad14-e3f25ef1d509
,2023-05-08,jasna,RN0721-26 (100C)_ink,,1c6aa2d5-1208-4356-a49d-c532593e7f1b
,2023-05-08,jasna,MX10.15,,b4022dc6-9cff-415f-9b7c-437a90559b80
,2023-05-08,jasna,RN0721-26 (RT)_ink,,ba0be1e2-62a8-4268-a3d1-1449851ac1f4
,2023-05-08,jasna,RN0721-31 (100C)_ink,,94f329af-6acf-499c-a21c-626818dc557b
,2023-05-08,jasna,RN0721-31 (55C)_ink,,cfdd3761-6ce9-476b-ba4e-c44b21263e59
,2023-05-08,jasna,RN0721-30_ink,,724d4494-3688-4386-8a43-6ff11634fbe6
,2023-05-08,jasna,RN0721-26 (80C)_ink,,5469761e-43df-4d8c-8896-9b8eb9b53b1a
,2023-05-08,jasna,RN0721-29_ink,,ce5031d7-fe83-4cf4-8d59-d43937f6c8fe
14,2023-05-08,,,,dff48d10-e210-4493-a06f-25b228ebedb1
14,2023-05-08,,,,d9a7472a-4e02-4d30-9d2c-a13f8eba075d
27,2023-05-08,,,,72041f99-e519-472c-9836-2bef16079dbc
2,2023-05-08,,,,5a0ff48c-f81b-4fcd-aa97-71e1fceba6d3
5,2023-05-08,,,,5dfcf975-4bc8-4cdd-91f6-b8f52e19cf90
26,2023-05-08,,,,4d490012-ec9c-4fab-bbc4-60bad11f3077
20,2023-05-08,,,,6a544e19-92b6-4f9a-b186-22d97cacee9f
21,2023-05-08,,,,198f4188-f730-4630-ac3e-4f0ac9ca8564
22,2023-05-08,,,,49cad255-cacf-4d89-ac41-c2dddc087b90
4,2023-05-08,,,,0ab6affe-4486-4b01-96ef-5a35cbb094f3
15,2023-05-08,,,,44cd03cd-c9da-4904-b744-9ea2a5910bca
23,2023-05-08,,,,92b8a35f-2470-4bd1-9e1c-b94bffc23546
25,2023-05-08,,,,a1661f81-520d-4853-96a4-2840f96e1b42
21,2023-05-08,,,,7881c1b8-4243-4f31-a8d8-beb4d09a05e4
11,2023-05-08,,,,1c3fc88c-ac53-41c8-8d2b-b2cecd0a690c
19,2023-05-08,,,,7ee3072e-5e1c-4629-a9a0-60f18c507885
13,2023-05-08,,,,a97b83c9-9f07-4cb1-bca2-2b8d4ac872bb
7,2023-05-08,,,,8226b8a9-4031-4485-b4ee-9f9066cfa868
23,2023-05-08,,,,eed2e5c3-cde8-4236-b6d5-8cbc5d28e811
2,2023-05-08,,,,0f81f702-5a26-491f-8059-9d2421f7fd34
7,2023-05-08,,,,ae483956-68fa-4edb-8672-615e49d27d1e
13,2023-05-08,,,,b89ddb0a-9af6-4875-8c12-60a20bcd809e
17,2023-05-08,,,,0493cc95-d530-4b60-b5be-b38b8f0bd251
15,2023-05-08,,,,730c6524-e8c2-41b7-ad9f-4c3fa36ae0e1
11,2023-05-08,,,,c13477fb-e909-494d-bfc7-21a10e9e9b0e
17,2023-05-08,,,,67386251-0e9d-4e5d-8714-716ae60a48fd
1,2023-05-08,,,,5dc4c6e9-c475-444d-ad3e-435ba632fd8a
6,2023-05-08,,,,503c8138-3293-41e6-af28-cfd5c877652f
9,2023-05-08,,,,0924606a-f797-4f50-840f-7ae34f46b7a8
18,2023-05-08,,,,b79d5ea3-1f38-4beb-801e-1073bfd3544d
19,2023-05-08,,,,8dd67d66-e051-4cb0-a705-2537220e09c7
6,2023-05-08,,,,066ec358-8224-4ce3-87a8-2355ae4b83b8
4,2023-05-08,,,,91bc8b88-9798-471b-b0b7-26f5f596865a
1,2023-05-08,,,,edd3db36-1dbd-481e-898c-a93db50f1a4b
12,2023-05-08,,,,0b867741-b113-4729-a8dd-ccfee1e4ca3d
27,2023-05-08,,,,a3dc6abc-dc36-4c79-a342-d949386093a9
10,2023-05-08,,,,349d716f-78c0-4c9e-91be-a7a0a75a3103
8,2023-05-08,,,,8349a7aa-3e38-4f2b-a41d-cd060e9be4d9
,2023-05-08,,,,20080c90-5182-492a-b66c-c9f7c390905c
8,2023-05-08,,,,5a18601e-6503-4345-b901-875dac0cd46a
25,2023-05-08,,,,602289cf-ab05-4e99-8402-c3f0d8038b6e
10,2023-05-08,,,,5cf93a78-abb8-485c-a695-46a571aeec8d
16,2023-05-08,,,,9d32ec00-b116-4119-bdd9-5270996fccdf
24,2023-05-08,,,,744f38ef-a224-4265-aff7-19905298d127
,2023-05-08,,,,bda01e4d-78c9-4cdf-858e-c87f56fdb355
27,2023-05-08,,,,294c4a6d-5bd4-4e17-baba-c0384f428898
6,2023-05-08,,,,3481f7ec-8b61-4cea-a682-383919b03d32
23,2023-05-08,,,,027c093b-b75f-4511-ae56-419bbcb0a3ab
17,2023-05-08,,,,e33a5b8c-d777-419c-bc25-811ce5d51cf2
25,2023-05-08,,,,ef8a06d0-5d1f-49ce-aeb8-d986db4938cb
19,2023-05-08,,,,b252c6a6-ec15-4fcd-8ded-82f4e2f07b1d
5,2023-05-08,,,,5529f8da-ad55-48ad-9848-7822a97f5ff8
21,2023-05-08,,,,1913ab26-a2a5-4a1b-a1e5-b4af7d2ea930
10,2023-05-08,,,,a7dcb220-f721-45bb-8af6-27b303a8b9db
6,2023-05-08,,,,8106ba5d-bf56-464b-ae1a-17cb1dc2eb26
21,2023-05-08,,,,63fe18ea-bc03-4e02-8d65-81578a26ffc4
12,2023-05-08,,,,b546b098-4f9d-4dd9-aff5-9d775b31117d
7,2023-05-08,,,,13494aae-291e-4213-a122-ec5acf7247f3
11,2023-05-08,,,,bf74a07c-ad84-4a2d-aa7d-c326b20abc02
26,2023-05-08,,,,7ff083a7-ffb6-49d1-9bc0-251db8b4f6e3
4,2023-05-08,,,,7b222249-ad7d-4a1e-8e44-0258a7616d0f
2,2023-05-08,,,,afa50492-fdc1-4b8e-863f-9c6b913ee4af
10,2023-05-08,,,,5eb4bcca-ec38-45fd-9b2b-9755cb65ac54
15,2023-05-08,,,,81d30c86-b96f-42ec-94f2-32c188b9208b
2,2023-05-08,,,,e5a1e26f-82f0-43ec-b1ba-b99bfc59f02e
25,2023-05-08,,,,615e60e9-7ce8-4f09-bcfd-c4753fcde096
19,2023-05-08,,,,e2b459eb-e886-4602-b663-b86c783fd8a4
8,2023-05-08,,,,93b80a9a-a88b-462b-b032-d707931cba9a
1,2023-05-08,,,,7d46d331-3c56-49f3-9e48-6d99c4727c18
23,2023-05-08,,,,7e9e1bc0-f750-4945-96f4-46df7527b697
22,2023-05-08,,,,f2ae3358-a076-4039-bad5-b77594f2ff03
4,2023-05-08,,,,ba0f9a92-3003-41b1-9ea8-6bfacff5374e
15,2023-05-08,,,,691a4eaf-a193-44e3-be0e-de3fd6d557c1
13,2023-05-08,,,,6d660fd5-7cc2-4087-a5c2-38f85c5486ae
13,2023-05-08,,,,7e707873-64da-4f30-9814-5b68b7ff9175
14,2023-05-08,,,,28617c8a-67ad-431d-83cb-c8593dfae234
8,2023-05-08,,,,4f044b2d-b7a6-44e2-9f79-01198470b634
27,2023-05-08,,,,fbca674e-b711-4921-b9ec-1d6475526aae
18,2023-05-08,,,,379f117a-7b21-4f0a-bb95-1188fe4507b5
11,2023-05-08,,,,19be818c-afcb-459d-a918-e1fc8a2b0b3e
14,2023-05-08,,,,0958a0c3-e4fe-4caa-a77d-48808fc96d73
7,2023-05-08,,,,7af8e473-9dd9-46e0-a3a0-99bb12d327e3
1,2023-05-08,,,,e90c726f-b8bd-4803-96b1-d838e54e941a
,2023-05-08,,,,822d6960-19ff-4606-8f47-08b1c542a931
17,2023-05-08,,,,02a56259-f6a1-4411-a808-f3cc1e75761b
16,2023-05-08,,,,a8f89cdf-054b-4c17-92f3-0e0f13b411e5
9,2023-05-08,,,,9258d632-a6ee-4f49-a8b3-977ac2795562
24,2023-05-08,,,,7eef7d1c-1e86-4619-930e-30c3b7177dcd
20,2023-05-08,,,,5e0c32a7-623a-470d-90fb-74a594be6e93
